carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,1600.7205083307636
1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,9004.917870036728
0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,2294.1355433390054
0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,2038.2062199318243
0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,2862.5884398384987
1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,7181.300832662966
1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,5375.370901360664
1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,5492.5374710270935
0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,3054.9162374117586
1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,9517.906106845385
2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,13639.199887312257
0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,263.38961165956425
0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,286.63167402382896
0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,1848.2068002100896
0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,808.964423026744
0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,357.0933229041075
1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,4696.491998891943
0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,2193.1369927243068
1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,5419.4902467860575
1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,11582.661184485074
1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,5058.130224601222
0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,1794.3014662809983
1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,5447.107106326015
1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,4970.265880807159
0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,604.3089508077574
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,5275.57398886501
0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,609.3711255405433
0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,3709.7157889221744
1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,5193.809436743486
0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,329.08869510781005
0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,663.5121229623255
0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,2539.559233925738
0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,2937.328505186615
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,349.1741132487623
1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,6146.5964713614485
0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,632.8794779796735
0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,945.8019391386551
1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,6440.670609642306
0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,803.4254884639267
1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,8379.945057018276
1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,7405.808376492654
2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,14662.773310745539
0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2960.457232872068
0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,749.3878627442609
0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,1685.149682695741
0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,302.4061457175958
1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,8152.272732702768
0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,3959.0625158332587
0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,402.6451641158055
0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,533.4581017826604
0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,201.9180061425359
0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,3919.218396151191
1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,5316.932540225118
0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,687.3940471046408
1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,9496.637641207592
0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,2871.069884304514
0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,327.3463569199703
0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,1113.7204931639026
0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,960.736818557154
1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,5013.491495913864
1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,5657.1385356396
1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,5330.913396471464
0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,3092.6916744611844
0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,2418.482541072368
1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,9254.902606280948
1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,5884.172876700055
0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,1901.8809759043543
1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,5238.645463717836
0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,2960.926261318731
0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,2163.8975496519306
0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,384.7010935182152
0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,3398.5489490445907
0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,2027.546257567763
2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,14226.919536993744
2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,14922.116624380127
1.15,Ideal,D,VS2,58.5,57.0,6.96,6.93,4.06,6889.873523195982
0.7,Premium,I,VVS2,60.1,59.0,5.8,5.72,3.46,2972.38470570746
1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,5851.833604794374
0.56,Ideal,H,SI1,61.9,54.0,5.3,5.33,3.29,2242.460359382396
1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,11432.529240470181
0.31,Very Good,G,VVS2,62.2,56.0,4.31,4.34,2.69,519.7074600284941
0.5,Very Good,H,VVS2,62.9,56.0,5.03,5.08,3.18,1528.0672055496107
1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,6184.727555327432
0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,110.30686397496538
0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,1825.3914611908694
0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,4203.639738825033
0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,416.29187280850965
0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,3280.941525135211
0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,3555.4639066171985
1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,6702.373813147373
1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,9417.065349566516
1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,6794.900073284778
1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,6067.702576860171
1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5676.693446614096
0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,281.4012861797055
2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,16333.134163994044
0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,733.5371169098689
0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,498.37893841426194
1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,6353.5142404922135
0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,1941.0931671907274
0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,993.2123924927109
0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,2235.788784057706
0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,2928.885927831885
0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,2176.877556339128
0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,2926.2447900778534
0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,643.3189601042213
1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,5427.349208630369
0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,1565.7947767110927
0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,2254.6923206759493
1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,6018.286323912909
0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,1298.302833794387
0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,685.0300467554116
0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,101.49286666358603
1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,11170.568383676253
0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,1489.0809763924262
0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,3268.289529550988
0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,798.6665995701005
0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,4865.462474047841
0.59,Good,F,VS1,60.5,61.0,5.43,5.5,3.31,1976.421225748567
1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,6926.8705433679625
0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,1473.1328222581396
0.5,Very Good,E,VS2,61.8,57.0,5.05,5.11,3.14,1624.5067556054491
1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,4976.123328191963
0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,2531.745522183872
0.72,Ideal,D,SI2,62.7,55.0,5.7,5.72,3.58,3199.05975334721
0.3,Ideal,F,VS2,60.7,57.0,4.34,4.29,2.62,571.9688947882787
0.3,Ideal,E,VVS2,61.6,56.0,4.32,4.35,2.67,521.7562665204714
0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,399.6547163747746
1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,5219.212414102882
1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,6772.095009484532
1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,9797.383927062116
0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,1807.5522017179574
0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,717.9799118262417
1.53,Very Good,I,VS1,62.8,55.0,7.35,7.4,4.63,9820.725462514572
0.52,Very Good,J,SI1,62.5,59.0,5.14,5.16,3.22,1380.2574240342947
0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,1206.836592149295
1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,5497.415996789274
0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,979.123697579791
0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,1015.2178265573384
0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,4344.966436158225
1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,9873.827098870457
1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,5339.170163243216
0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,869.2023159362252
0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,3443.187260043356
1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,9191.871318983438
1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,5124.323265067082
1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,11133.777137975845
0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,4449.8583198405395
1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,6115.749789309539
0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,3915.628844757899
0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,645.3305287727671
0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,452.5463115491111
1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,5681.53750926423
0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,731.4166396769251
1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,5346.7490153378585
0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,4473.485653476833
0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,1886.4519043357395
1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,9535.080407419753
1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,5272.652366089453
1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,11897.42634480934
1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,5351.799083179963
1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,5668.665231138328
0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,649.4854888840127
2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,14200.957979298382
0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,1556.199857044423
1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,5584.8694532436
1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,9167.94760062976
0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,1531.515175609573
0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,1279.9061984999862
0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,4822.914673378804
0.57,Premium,E,VS2,61.0,58.0,5.34,5.31,3.25,2070.690062621692
0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,919.2958094656788
0.9,Premium,H,VS2,61.2,61.0,6.21,6.14,3.78,4183.752895211015
0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,3424.8096984458098
0.5,Ideal,E,VVS2,61.7,55.7,5.09,5.12,3.13,1725.0279359564047
1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21,6516.4835490218575
0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,1700.2029942657464
0.23,Premium,E,VVS2,61.8,58.0,3.94,3.92,2.43,-7.700555985331448
0.96,Premium,D,SI2,59.1,58.0,6.53,6.44,3.83,5159.224619787132
0.38,Ideal,E,VS2,61.9,57.0,4.61,4.66,2.87,860.3346544862288
0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,690.945790394846
0.71,Ideal,D,VVS2,61.6,56.0,5.69,5.77,3.53,3228.504244513664
1.05,Premium,F,VS1,62.3,55.0,6.57,6.49,4.07,5734.968972574699
1.16,Premium,G,VVS2,60.0,59.0,6.89,6.82,4.11,6574.825185818265
0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,4256.198981045563
0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,781.428304729885
0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,3395.441975174901
0.74,Very Good,H,VS1,62.3,56.0,5.75,5.78,3.59,3331.1109646734985
0.73,Premium,I,VS1,61.2,59.0,5.82,5.84,3.57,3053.944810209079
1.16,Ideal,H,SI2,61.1,56.0,6.78,6.79,4.15,6799.862169023912
1.57,Fair,H,VS1,67.3,66.0,7.85,5.75,3.87,7433.265169066717
0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,165.7977742000403
0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,2303.019042400814
0.32,Very Good,D,VS2,62.0,57.0,4.38,4.42,2.73,480.10535034574787
1.51,Ideal,I,SI1,62.7,57.0,7.35,7.3,4.59,9416.316254806103
0.7,Premium,G,SI1,62.0,61.0,5.67,5.62,3.5,2547.4770757459773
0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,4348.224394718494
0.7,Ideal,G,SI1,62.2,56.0,5.72,5.69,3.55,2956.1737189315354
0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,225.21768240717938
0.7,Very Good,F,VS2,62.4,59.0,5.64,5.71,3.54,2715.430398085453
1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,5898.699382515992
0.39,Fair,G,IF,57.1,61.0,4.83,4.88,2.77,1259.3511946717408
1.55,Ideal,F,VS2,61.8,54.0,7.44,7.48,4.61,10226.304772394476
1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,6794.338285471444
1.21,Premium,H,SI1,61.8,58.0,6.83,6.79,4.21,6925.379165999228
0.27,Ideal,I,VS1,62.1,54.0,4.16,4.18,2.59,499.20010377290964
0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82,496.5571247701155
0.7,Ideal,H,VS2,62.4,56.0,5.63,5.72,3.54,3034.509235182235
0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,4089.2018967923686
0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,500.5782983975332
2.14,Premium,I,SI1,61.3,61.0,8.32,8.28,5.09,14839.997164211049
1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,6730.267089871262
0.3,Very Good,H,VVS1,62.6,56.0,4.25,4.28,2.67,405.53450214455006
0.5,Ideal,I,SI1,59.8,59.0,5.18,5.15,3.09,1658.824356506644
0.55,Ideal,G,VS2,62.2,54.0,5.27,5.28,3.28,2110.3612821681672
2.01,Very Good,H,VS2,63.5,59.0,7.92,7.86,5.01,13701.054754221259
0.3,Ideal,H,VVS2,61.3,57.0,4.33,4.31,2.65,465.0047467432705
1.65,Premium,D,SI1,60.4,60.0,7.63,7.58,4.59,10726.93918157257
0.26,Very Good,F,VS2,62.4,58.0,4.06,4.08,2.54,47.128559382650565
0.42,Ideal,D,VS1,61.1,57.0,4.84,4.81,2.95,1161.9104863678622
0.5,Premium,F,VVS2,61.9,58.0,5.07,5.1,3.15,1475.9546914818093
1.09,Ideal,G,VS2,62.4,55.0,6.61,6.56,4.11,6095.693591824624
0.41,Premium,G,SI1,61.3,58.0,4.76,4.8,2.93,1015.7092565565617
1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,5822.222796962376
1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,9411.983270201134
0.37,Very Good,F,VS2,59.2,61.0,4.63,4.69,2.76,867.8965842233301
0.4,Very Good,D,VS2,63.5,55.0,4.69,4.66,2.97,850.8462170369567
0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,4176.944370380232
0.35,Very Good,H,SI1,61.3,55.0,4.55,4.58,2.8,936.6326701825747
1.51,Very Good,E,VS2,62.4,59.0,7.26,7.36,4.56,9393.893486453291
1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,5971.591047773143
0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,1027.2150380201783
1.06,Ideal,I,VS2,61.4,57.0,6.57,6.52,4.02,5821.58614607707
0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,1764.2875926418237
1.0,Fair,F,SI1,64.8,58.0,6.26,6.21,4.04,4773.729112001734
0.32,Ideal,F,VS2,60.3,55.0,4.45,4.4,2.67,935.2798849850842
1.02,Premium,F,VS2,62.4,59.0,6.4,6.45,4.01,5204.320058101293
0.42,Premium,H,VS2,62.1,57.0,4.8,4.76,2.97,1008.3269727265579
1.02,Premium,G,SI2,62.3,58.1,6.41,6.38,4.0,5298.9363511521715
0.31,Very Good,F,VS2,63.4,56.0,4.32,4.29,2.73,260.657821242974
0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,4159.593341399734
1.05,Ideal,F,VS2,59.1,57.0,6.67,6.66,3.94,6057.379872789452
0.9,Good,F,SI1,58.0,58.0,6.24,6.28,3.63,5104.390490079899
0.33,Ideal,D,VVS2,60.9,57.0,4.46,4.48,2.72,709.6620582213945
0.4,Very Good,E,VS1,60.1,58.0,4.72,4.76,2.85,1200.4081745348667
1.37,Ideal,G,SI2,62.8,57.0,7.12,7.06,4.45,8180.127964584559
0.72,Ideal,F,IF,62.0,57.0,5.71,5.78,3.56,3127.677698934316
1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,6023.943984083371
0.35,Premium,E,IF,59.0,61.0,4.64,4.62,2.73,676.4859393741244
2.02,Premium,H,SI2,61.5,58.0,8.14,8.1,4.99,14042.314397628412
1.88,Good,J,SI2,57.9,59.0,8.16,8.11,4.71,13139.966670092304
1.52,Ideal,H,VS2,61.8,55.1,7.38,7.42,4.58,9867.341443059477
1.01,Ideal,G,SI1,62.2,55.0,6.44,6.46,4.01,5493.530661152767
0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22,2218.8304454259596
0.96,Premium,E,SI2,62.8,60.0,6.3,6.24,3.94,4495.349066162184
0.34,Very Good,E,SI1,63.4,55.0,4.46,4.44,2.82,512.1262378720348
0.8,Ideal,E,SI1,61.1,56.0,5.98,6.01,3.66,3932.333258131879
0.3,Ideal,D,VS1,61.0,57.0,4.31,4.32,2.63,552.140821044919
0.54,Ideal,E,VS2,61.8,57.0,5.23,5.26,3.24,1829.183490223928
0.71,Good,G,VS2,63.5,59.0,5.63,5.67,3.59,2610.9273117072626
1.01,Very Good,F,VS2,61.5,57.0,6.4,6.48,3.96,5484.180477087422
1.02,Ideal,I,SI2,62.8,58.0,6.37,6.41,4.01,5261.588472213105
2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,13838.795938690018
0.33,Ideal,G,VS1,62.4,56.0,4.43,4.45,2.77,545.1296199907447
0.44,Ideal,G,SI1,62.7,57.0,4.82,4.85,3.03,1081.1874204400665
0.31,Very Good,E,VVS1,62.3,59.0,4.32,4.38,2.71,183.83105810197958
0.26,Very Good,G,VVS2,62.6,56.0,4.1,4.13,2.57,161.57108843958122
1.58,Ideal,E,SI1,61.0,57.0,7.5,7.55,4.59,10329.577919527404
0.32,Ideal,E,SI2,61.6,56.0,4.4,4.43,2.72,637.4694602243435
0.31,Good,G,SI1,63.3,57.0,4.3,4.33,2.73,207.6729210716985
0.75,Very Good,H,SI2,61.9,56.0,5.79,5.87,3.61,3473.1506421432496
0.39,Very Good,H,VVS2,62.4,57.0,4.67,4.7,2.92,791.0194864996338
0.41,Ideal,E,VVS2,62.8,54.0,4.77,4.72,2.98,1101.4266565555845
0.54,Ideal,I,IF,61.6,53.0,5.26,5.3,3.25,2240.564057938129
0.55,Ideal,D,VVS2,61.5,56.0,5.26,5.28,3.24,2061.0112837320703
0.35,Ideal,H,VVS1,62.6,57.0,4.47,4.45,2.79,564.9405530612821
1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,12333.776034108598
0.72,Ideal,J,VS1,61.1,56.0,5.84,5.82,3.56,3245.0606580977947
1.52,Good,I,SI1,64.0,58.0,7.2,7.27,4.63,9352.70116835855
0.4,Good,F,VVS1,60.6,62.0,4.71,4.73,2.86,703.0085993155626
0.3,Premium,F,IF,61.6,58.0,4.34,4.3,2.66,288.7520526238259
1.2,Ideal,H,SI1,60.8,57.0,6.9,6.88,4.19,7036.723508887997
0.56,Fair,F,VS2,57.0,67.0,5.49,5.36,3.09,1663.2411185408855
0.54,Ideal,H,VVS2,61.8,56.0,5.25,5.27,3.25,1905.7630837444922
1.55,Ideal,G,VS1,62.0,57.0,7.37,7.42,4.58,9967.18976164216
1.33,Good,D,SI2,59.0,64.0,7.22,7.12,4.23,7678.12744983612
0.37,Premium,H,VS2,61.4,58.0,4.64,4.61,2.84,710.2308668386468
0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,769.87868873138
1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,5515.696075039783
1.19,Very Good,D,SI2,63.5,57.0,6.67,6.75,4.26,6675.744534200197
0.9,Very Good,I,SI1,60.5,58.0,6.22,6.27,3.78,4626.129677615618
0.32,Ideal,E,IF,62.6,55.0,4.38,4.41,2.75,561.5826069001523
0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,2497.776038202799
0.4,Good,D,VS2,63.5,55.0,4.66,4.69,2.97,891.8084963182628
0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,415.94042943434033
0.25,Ideal,E,VVS2,62.1,57.0,4.04,4.07,2.52,127.96094162862937
2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,17323.589715004586
2.03,Premium,J,SI1,62.1,59.0,8.12,8.06,5.02,13950.281234148395
1.08,Ideal,E,VVS1,61.0,56.0,6.66,6.62,4.05,6107.913611241029
0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,3150.1432639275736
1.01,Premium,F,SI2,61.3,60.0,6.43,6.4,3.93,5174.585181966197
0.61,Very Good,I,VS2,62.7,57.0,5.39,5.42,3.39,2200.0313013626364
0.3,Ideal,I,SI1,61.5,57.0,4.3,4.35,2.66,466.1333012438263
0.48,Ideal,F,VVS1,62.0,55.0,4.99,5.04,3.11,1646.7891452441254
0.43,Ideal,D,SI1,61.5,56.0,4.87,4.82,2.98,1251.6048770950292
0.7,Premium,D,VS1,61.0,59.0,5.79,5.72,3.51,2803.9170693535198
2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,5.07,15808.793776774839
0.7,Good,G,VS2,62.1,61.0,5.68,5.69,3.53,2519.104949529581
1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77,11421.221669936347
1.5,Very Good,J,VS1,61.3,59.0,7.36,7.41,4.53,9381.902931994848
0.75,Premium,I,SI1,62.5,58.0,5.77,5.82,3.62,3170.947960979258
0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,2676.056794367498
1.0,Very Good,G,VS1,59.4,59.0,6.52,6.54,3.88,5444.90213152933
1.02,Good,H,SI2,57.9,61.0,6.75,6.68,3.89,5468.272330823984
0.7,Premium,E,SI1,60.7,58.0,5.74,5.73,3.48,3031.744139230381
0.5,Ideal,E,VVS1,61.9,58.0,5.07,5.11,3.15,1476.51322488008
2.15,Premium,H,SI2,62.8,58.0,8.22,8.17,5.15,15073.680677437133
0.34,Ideal,G,VVS2,61.1,57.0,4.48,4.52,2.75,753.1155505291681
0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,4179.029036108917
1.01,Very Good,D,SI2,64.0,56.0,6.3,6.38,4.06,5205.445932042265
0.51,Premium,E,SI2,61.8,58.0,5.11,5.08,3.15,1549.8483540090601
0.56,Ideal,D,SI1,62.3,56.0,5.26,5.33,3.3,2010.037654292053
0.35,Ideal,F,VS2,61.4,55.0,4.55,4.6,2.81,917.7555736457507
1.05,Premium,D,SI1,61.6,61.0,6.55,6.5,4.02,5291.636143716065
0.46,Ideal,E,VS2,62.1,57.0,4.93,4.89,3.05,1276.5565760014215
